form,smiles,MW,logP,HBD,HBA,QED,lipinski_pass
full,O=C(NC(Cc1ccccc1)C(=O)N[C@H]1CCN(S(=O)(=O)c2ccc(N3CCCC3)cc2)C1)c1coc2ccccc12,586.7,3.95,2,6,0.307,0
full,N#CCOC(=O)N1CCC(N)CC1,183.2,0.07,1,4,0.623,1
full,CC(=O)N(CC(=O)NC(C)C(CC(C)C)NC(=O)OCc1ccc(-c2ccccc2)cc1)Cc1ccccc1,529.7,5.55,2,4,0.322,0
full,N#Cc1cccc(C(=O)Nc2ncc(-c3ccccc3)s2)c1,305.4,3.93,1,4,0.797,1
full,N#C/C=C/S(=O)(=O)N(CNC(=O)C(Cc1ccccc1)NS(=O)(=O)c1ccccc1)Cc1ccccc1,538.7,2.52,2,6,0.269,0
full,C=C(N)N[C@@H](C)CNC(=O)OC(C)(C)C,215.3,0.92,3,4,0.651,1
full,CC(C)C[C@H](NC(=O)C(NC(=O)CCNC(=O)OCCc1ccccc1)C(=O)NCCCc1ccccc1)C(C)C,566.7,3.77,4,5,0.171,0
full,CC(C)OC(=O)C(NC(=O)c1ccccc1)(C(=O)Nc1ccccc1)C(F)(F)F,408.4,3.31,2,4,0.567,1
full,O=C(CC(=O)C1CC[C@@H](c2nc(-c3ccccc3)cs2)O1)N[C@@H](Cc1ccccc1)CC(F)F,484.6,5.37,1,5,0.393,0
full,O=C1Nc2ccccc2C2(CCCC2)O1,203.2,3.02,1,2,0.703,1
full,CC(=O)C(NC(=O)C(CC(C)C)NC(=O)c1cccc(-c2cccc(C(F)(F)F)c2)c1)C1(C#N)CC1,499.5,4.89,2,4,0.513,1
full,N#CC1(NC(=O)C(C=CS(=O)(=O)C(F)(F)CC(F)(F)F)=Cc2ccccc2)CC1,434.4,3.72,1,4,0.403,1
full,O=C1NC(/C=C/c2ccccc2N2CCOCC2)(C(CCc2ccccc2)C(=O)NC(COc2ccccc2-c2cccc(Cl)c2)c2ccccc2)CO1,742.3,8.52,2,6,0.119,0
full,CC(C)C(NC(=O)OCCc1ccccc1Cl)C(=O)Nc1ccc(C(F)(F)F)cc1,442.9,5.29,2,3,0.612,0
full,CCCOC(=O)NC(C(=O)N[C@H](Cc1ccccc1)CC(C)(C)C)C1CCCCC1,416.6,5.24,2,3,0.579,0
full,CC(C)C(C=O)C(=O)NC(CCc1ccccc1)C(=O)OCC=O,333.4,1.32,1,5,0.396,1
full,CCCC/C=C/c1ccc(C#CC#N)cc1OCc1ccccc1OC,345.4,5.35,0,3,0.478,0
full,N#CCCC(=O)NC(CC1CCCCC1)C(=O)C(NCCc1ccc(-c2ccc(C(F)(F)F)cc2)o1)C(F)(F)F,571.6,6.36,2,5,0.289,0
full,CC(COCc1ccccc1)C(C#N)NC(=O)C(NC(=O)c1ccccc1)c1ccccc1,441.5,4.02,2,4,0.497,1
full,CC(=O)N[C@@H](C(C)C)[C@H](Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C,481.6,4.01,3,4,0.478,1
full,CC(C)CC(NC[C@H](NC(=O)c1ccccc1)C(C)C)C(=O)NCC(=O)N1CCOCC1,446.6,1.42,3,5,0.477,1
full,O=C(C1=C(C(=O)N2CCOCC2)C[C@@H]2c3ccccc3CN2C1=O)c1ccccc1OCC(F)(F)F,500.5,3.45,0,5,0.465,0
full,COC(=O)C(Cc1ccccc1)C(=O)NC(C(=O)C(=O)Nc1ccccc1)C(C)C,410.5,2.37,2,5,0.375,1
full,CC(C)C[C@@H]1NC(=O)C1NC(=O)C(CCc1ccc(OCc2ccccc2)cc1)NC(=O)CCc1ccc2c(c1)OCO2,585.7,4.07,3,6,0.246,0
full,CC(C)COc1ccccc1C(=O)NC(=O)NC(Cc1ccccc1)C(=O)Nc1ccccc1,459.5,4.41,3,4,0.442,1
full,CCOC(=O)N(C)C(=O)C1CCCC[C@@H]1OC(=O)NC(C(=O)OCc1ccccc1)N1CC=C(c2ccccc2)CC1,577.7,4.75,1,8,0.336,0
full,O=C(NC(Cc1ccccc1)C(=O)NC1CCC(NC(=O)C2OCCOc3cccc(F)c32)C1=O)c1cc2ccccc2o1,599.6,3.4,3,7,0.283,0
full,CSCCC(NC(=O)C#N)C(NC(=O)Oc1ccccc1)C(C)C,349.5,2.56,2,5,0.704,1
full,COC(=O)C(NC(=O)C1[C@@H]2CCCC2C(=O)N1CCOc1ccccc1NC(=O)C#N)C(C)C,470.5,1.47,2,7,0.412,1
full,CCCC[C@H](OC(=O)C(Cc1ccccc1)NC(=O)C(CCc1ccccc1)NC(=O)COCc1ccccc1)C(C)=O,586.7,4.74,2,6,0.208,0
full,CCCc1nc(C#N)ncc1OCc1ccccc1,253.3,2.88,0,4,0.822,1
full,CC(C)C[C@@H](C=C(F)C(=O)NC(=O)c1ccc2c(c1)CCN(C(=O)CN1CCN(C)CC1)C2)NC(=O)C1COC(=O)C1,585.7,1.02,2,8,0.325,0
full,CC(CCc1ccccc1)(NC(=O)O[C@@H]1C=CCCC1)C(=O)NC(C(=O)O)C(=O)NC1CC1,457.5,2.06,4,5,0.314,1
full,COc1ccc(C(=Nc2ccc(O)c(C#N)c2)c2ccccc2)cc1,328.4,4.44,1,4,0.72,1
full,COC(=O)CC[C@@H](Cc1ccccc1)NC(=O)C(Cc1ccccc1)C(=O)OC(C)=O,425.5,2.62,1,6,0.464,1
full,CCCCC(NC(=O)O[C@@H](Cc1ccccc1)Cc1ccccc1Cl)C(=O)N[C@@H](C#N)/C(C)=C/C(C)(C)C,538.1,6.78,2,4,0.292,0
full,CC(C)(C)[C@H](CCCNC(=O)C1CCC[C@@H]1NC(=O)C1=C(C(N)=O)Cc2ccccc21)NC(=O)Oc1ccccc1,560.7,3.87,4,5,0.327,0
full,C[C@@H](NC(=O)C1CCCN1C(=O)C(Cc1ccccc1)NC(=O)c1ccccc1)c1ccccc1,469.6,3.9,2,3,0.525,1
full,O=S(=O)(C=N[C@@H](Cc1ccccc1)c1c[nH]c2ccc(F)cc12)c1ccccc1F,424.5,5.23,1,3,0.34,0
full,CC(C)CC(NC(=O)C(CC(C)C)NS(=O)(=O)c1ccccc1)C(=O)C#N,393.5,2.0,2,5,0.59,1
full,CC(C)[C@@H](COC(=O)NCC(=O)OCc1ccccc1)NC(=O)CCNC(=O)Cc1ccccc1,483.6,2.35,3,6,0.376,1
full,CC(C)CC(NS(=O)(=O)c1cccc(-c2ccc(NS(C)(=O)=O)cc2)c1)C(=O)OCc1ccccc1,530.7,4.16,2,6,0.359,0
full,CC(C)(C)OC(=O)NCC(=O)N1CCCC1C(=O)NC(Cc1ccc(C(F)(F)F)cc1)C(=O)NCCC(F)(F)F,582.5,3.32,3,5,0.387,0
full,N#CC1(OC(=O)NC(CC2CCCC2)C(=O)NC(=O)C2CCc3ccccc3C2)CC1,423.5,3.17,2,5,0.731,1
full,CC(C)COc1cccc(CC(O)C(=O)C(=O)NC(C#N)CC(C)C)c1,360.5,2.25,2,5,0.624,1
full,Cc1ccc(S(=O)(=O)NC(Cc2ccccc2)C(=O)NCCC#N)cc1,371.5,1.91,2,4,0.693,1
full,CCCC(NC(=O)CC(C)C)C(C)NC(=O)C=O,256.3,1.02,2,3,0.503,1
